precipitation,Streamflow
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.019097222,0.0
0.011458333,0.0
0.005555556,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.355034722,0.8202673044856503
1.255381944,4.892063330392855
1.261111111,7.381177744710368
0.000520833,9.111138028729853
0.0,9.464093401664842
0.0,7.444833704471713
0.0,7.12459522141474
0.0,10.885434574795598
0.0,10.025595110363527
0.0,7.009704004391521
0.002777778,7.321829958089459
0.320659722,8.190633422859113
0.484722222,9.035203204550113
0.011631944,7.433967389919912
0.0,9.565168817475948
0.0,10.498310356688101
0.0,9.85084292894441
0.0,8.793099712982585
0.0,6.588181369692084
0.0,7.571171808375159
0.0,7.497252385038924
0.0,6.267631591462523
0.0,5.587296313686203
0.0,5.651637442360909
0.119791667,5.2804799665945
0.612847222,7.257725829991452
0.242534722,7.776206711252229
0.092361111,8.421793875392165
0.010763889,9.363282523602985
0.0,8.423107734319988
0.0,8.264516020634021
0.0,6.5704095792410735
0.031597222,6.334443499050626
0.021875,8.527492128880356
0.0,6.311228107986351
0.1578125,7.266187407310373
0.282291667,8.29406006076881
0.475,7.485344452591402
0.066493056,6.404196719528707
2.199131944,15.96066109845432
5.290625,28.849290463294373
0.201041667,36.17787211566927
0.253472222,31.12137521614712
0.0,36.778254884331616
0.0,26.38081951316447
0.0,40.31253523567268
0.0,23.292867242433594
0.0,40.013888813829254
0.0,29.197806011409536
0.0,24.755952156003616
0.0,24.22479915596289
0.0,22.92591210106392
0.0,16.749991849715148
0.0,24.34838169437452
0.0,16.11922928903732
0.0,19.809695106524888
0.0,17.069317809417065
0.0,14.224629687306336
0.0,18.384100976284078
0.0,15.614251727989966
0.0,15.053029789258769
0.0,19.930329046131483
0.0,11.21218737688678
0.0,10.346323295989086
0.0,10.569030402302136
0.0,10.370097931873854
0.0,12.051858025466668
0.0,17.39866298235485
0.0,12.59428256598379
0.0,8.064315990857903
0.0,8.582776855291339
0.0,10.272893171793477
0.0,11.861626537637363
0.0,8.932835933786315
0.0,9.241760667159884
0.0,8.921473492476098
0.0,8.320757153961821
0.0,6.261537951242087
0.0,7.411449067130434
0.0,7.496518317357658
0.0,7.439758919912167
0.0,6.542836764471289
0.0,6.168573696301625
0.0,5.952415428740328
0.0,7.117820567321189
0.0,5.846115869890008
0.0,5.711836949361604
0.0,5.19224131777224
0.0,5.911187586313619
0.0,6.1675145658973545
